조선 왕조의 성립,1392년 7월 17일
한양천도,1394년 10월 25일
1차왕자의난,1398년 음력 8월 26일
2차왕자의난,1400년 1월
8도체제완성,1414년
집현전설치,1420년
동전사용,1425년
농사직설,1429년
자격루,1434년 8월 5일
훈민정음창제,1443년
용비어천가,1445년
훈민정음반포,1446년 10월 9일
계유정난,1453년 11월 10일
홍문관설치,1463년
이시애의난,1467년 5월
경국대전완성,1470년 11월
삼포왜란,1510년 4월 4일
을사사화,1545년 8월 22일
정미약조,1547년
을미왜변,1555년 5월 30일
동서분당,1575년
임진왜란,1592년
진주대첩,1592년 10월 05일
행주대첩,1593년 3월 14일
노량해전,1598년 12월 16일
홍길동전,1607년
동의보감완성,1610년
병자호란,1636년 12월 28일
정묘호란,1627년 1월
북벌정책,1652년
1차나선정벌,1654년 1월
1차예송논쟁,1659년
대동법실시,1663년 3월 12일
상평통보주조,1678년 1월 23일
호적법,1690년
북한산성축성,1711년
정계비세움,1712년
탕평책실시,1725년
균역법실시,1751년 9월
동국문헌비고완성,1770년
규장각설치,1776년 11월 5일
열하일기완성,1783년
안동김씨의세도정치,1805년
평안도농민전쟁,1811년 음력 12월 18일
풍양조씨의세도정치,1840년
이양선출몰,1848년
서원철폐정책,1871년 5월 9일
경복궁중건,1865년 4월
병인박해,1866년 2월 23일
병인양요,1866년 10월 16일
신미양요,1871년 6월 1일
운요호사건,1875년 9월 20일
용담유사간행,1881년 6월
조.미수호통상조약,1882년 5월 22일
제물포조약체결,1882년 8월 30일
갑신정변,1884년 12월 4일
함경도에방곡령실시,1889
갑오농민전쟁,1894년 1월 11일
갑오개혁,1894년 7월 27일
을미사변,1895년 10월 8일
명성황후시해,1895년 10월 8일
단발령,1895년 음력 11월 15일
을미의병,1895년 음력 8월 20일
아관파천,1896년 2월 11일
독립신문창간,1896년 4월 7일
국호대한제국으로결정,1897년 10월 12일
만민공동회 개최,1898년 10월 28일
독립협회해산령,1898년 12월 23일
최초의철도경인선개통,1899년 9월 18일
이재수의 난,1901년 5월 6일
한.일의정서,1904년 2월 23일
일진회창립,1904년 8월 18일
을사조약체결,1905년 11월 17일
통감부설치,1906년
의병운동재개,1906년
국채보상운동,1907년 2월
헤이그밀사파견,1907년 6월 25일
정미7조약체결,1907년 7월 24일
스트븐스저격,1908년 3월 23일
안중근이토히로부미사살,1909년 10월 26일
한일합병조약공포,1910년 8월 22일
일본조선병합,1910년 8월 22일
105인사건,1911년
3.1운동,1919년 3월 1일
대한민국임시정부수립,1919년 4월 11일
청산리전투,1920년 10월 21일
조선공산당창립,1925년 4월 17일
6.10 만세운동,1926년 6월 10일
신간회결성,1927년
광주학생운동,1929년 11월 3일
동북항일연군결성,1935년 8월 1일
광복군조직,1940년 9월 15일
조선독립동맹결성,1941년 1월 10일
건국동맹조직,1944년 8월 10일
해방,1945년 8월 15일
조선인민공화국수립,1945년 9월 6일
미군정청수립,1947년 2월 10일
신탁통치반대운동,1945년 12월 30일
대한독립촉성국민회결성,1946년 2월 8일
UN한국임시위원단조직,1948년 1월 9일
5.10단독선거,1948년 5월 10일
인민회의대의원선거,1948년 7월 9일
남북한별도의정부수립,1948
한국전쟁발발,1950년 6월 25일
한국전쟁휴전,1953년 7월 27일
4.19혁명,1960년 4월 19일
7.4남북공동성명,1974년 7월 4일
5.18광주민주항쟁,1980년 5월 18일
김일성사망,1994년 7월 8일
IMF,1997년 12월 3일
